// NONE might be a better option moving forward in the case of callable,src/main/java/org/hibernate/cfg/HbmBinder.java,d8d6d82e3,9caca0ce3
//perhaps not really necessary...
// todo : what else to do here?,src/main/java/org/hibernate/bytecode/cglib/ProxyFactoryFactoryImpl.java,d8d6d82e3,82d2ef4b1
//TODO: disable batch loading if lockMode > READ?
// todo : what else to do here?,src/main/java/org/hibernate/bytecode/cglib/ProxyFactoryFactoryImpl.java,d8d6d82e3,82d2ef4b1
//TODO: to handle concurrent writes correctly,src/main/java/org/hibernate/cache/UpdateTimestampsCache.java,d8d6d82e3,4aa9cbe5b
//TODO: to handle concurrent writes correctly,src/main/java/org/hibernate/cache/UpdateTimestampsCache.java,d8d6d82e3,ccd23dbd3
// gets a chance to see all hibernate.c3p0.*
//note there is a wierd implementation in the client side
// this should be refactored to instead expose a method to assemble a EntityEntry based on this
// Do we need to drop constraints before dropping tables in this dialect?,src/main/java/org/hibernate/dialect/Cache71Dialect.java,d8d6d82e3,87e3f0fd2
* FIXME Per the RegionFactory class Javadoc,cache-jbosscache/src/main/java/org/hibernate/cache/jbc2/JBossCacheRegionFactory.java,c49ef2e2f,d2c88d55d
* FIXME Per the RegionFactory class Javadoc,cache-jbosscache/src/main/java/org/hibernate/cache/jbc2/JndiMultiplexedJBossCacheRegionFactory.java,c49ef2e2f,d2c88d55d
* FIXME Per the RegionFactory class Javadoc,cache-jbosscache/src/main/java/org/hibernate/cache/jbc2/JndiSharedJBossCacheRegionFactory.java,c49ef2e2f,d2c88d55d
* FIXME Per the RegionFactory class Javadoc,cache-jbosscache/src/main/java/org/hibernate/cache/jbc2/MultiplexedJBossCacheRegionFactory.java,c49ef2e2f,d2c88d55d
* FIXME Per the RegionFactory class Javadoc,cache-jbosscache/src/main/java/org/hibernate/cache/jbc2/SharedJBossCacheRegionFactory.java,c49ef2e2f,d2c88d55d
// Does this dialect support check constraints?,src/main/java/org/hibernate/dialect/Cache71Dialect.java,d8d6d82e3,5fc70fc5a
// this is called by SessionFactory irregardless
// Does this dialect support the UNIQUE column syntax?,src/main/java/org/hibernate/dialect/Cache71Dialect.java,d8d6d82e3,49c8a8e4f
// this is done here 'cos we might only know the type here (ugly!),src/main/java/org/hibernate/cfg/HbmBinder.java,d8d6d82e3,9caca0ce3
// this is done here 'cos we might only know the type here (ugly!),src/main/java/org/hibernate/metamodel/source/hbm/AbstractEntityBinder.java,819f8da9e,594f689d9
// Does this dialect support the FOR UPDATE syntax?,src/main/java/org/hibernate/dialect/Cache71Dialect.java,d8d6d82e3,5fc70fc5a
// todo : what is the implication of this?,src/main/java/org/hibernate/cfg/HbmBinder.java,d8d6d82e3,9caca0ce3
// todo : YUCK!!!,src/main/java/org/hibernate/tuple/entity/PojoEntityTuplizer.java,8a5415d36,66ce8b7fb
// todo : YUCK!!!,src/main/java/org/hibernate/tuple/entity/PojoEntityTuplizer.java,d8d6d82e3,66ce8b7fb
// Does this dialect support FOR UPDATE OF,src/main/java/org/hibernate/dialect/Cache71Dialect.java,d8d6d82e3,5fc70fc5a
//TODO: really bad,src/main/java/org/hibernate/cfg/HbmBinder.java,d8d6d82e3,9caca0ce3
//TODO: is it kosher to do it here?
//TODO: better to degrade to lazy="false" if uninstrumented,src/main/java/org/hibernate/cfg/HbmBinder.java,d8d6d82e3,9caca0ce3
// Does this dialect support the Oracle-style FOR UPDATE NOWAIT syntax?,src/main/java/org/hibernate/dialect/Cache71Dialect.java,d8d6d82e3,5fc70fc5a
* FIXME Per the RegionFactory class Javadoc,cache-jbosscache/src/main/java/org/hibernate/cache/jbc2/JBossCacheRegionFactory.java,c49ef2e2f,d2c88d55d
* FIXME Per the RegionFactory class Javadoc,cache-jbosscache/src/main/java/org/hibernate/cache/jbc2/JndiMultiplexedJBossCacheRegionFactory.java,c49ef2e2f,d2c88d55d
* FIXME Per the RegionFactory class Javadoc,cache-jbosscache/src/main/java/org/hibernate/cache/jbc2/JndiSharedJBossCacheRegionFactory.java,c49ef2e2f,d2c88d55d
