SATD id;satd LOC;after satd LOC;;comments;;;;;;
1;84;81;A;;;;;tot A =;27;0,284210526
2;36;35;A;;;;;tot B =;9;0,094736842
3;31;0;0;;;;;tot 0 =;53;0,557894737
4;4;0;0;;;;;"tot ""="" =";6;0,063157895
5;16;2;A;deprec;;;;;95;1
6;20;26;B;;;;;;;
7;81;0;0;;;;;;;
8;8;0;0;;;;;;;
9;11;11;=;=;;;;;;
10;17;0;0;;;;;;;
12;127;10;A;;;;;;;
13;164;18;A;;;;;;;
14;11;7;A;;;;;;;
15;4;0;0;;;;;;;
16;4;4;=;=;;;;;;
17;127;0;0;deprec;;;;;;
18;24;9;A;;;;;;;
19;10;7;A;;;;;;;
20;11;0;0;;;;;;;
21;21;21;=;=;;;;;;
22;4;15;B;;;;;;;
23;35;15;A;;;;;;;
24;23;0;0;interesting, merged with  parent method;;;;;;
25;75;14;A;;;;;;;
26;31;0;0;;;;;;;
27;16;0;0;;;;;;;
28;18;0;0;;;;;;;
29;9;0;0;;;;;;;
30;9;0;0;;;;;;;
31;192;0;0;;;;;;;
32;16;14;A;;;;;;;
33;5;0;0;;;;;;;
34;20;18;A;;;;;;;
35;16;16;=;=;;;;;;
36;13;0;0;;;;;;;
37;5;3;A;;;;;;;
39;6;0;0;;;;;;;
76;2;0;0;;;;;;;
77;39;44;B;;;;;;;
78;20;6;A;;;;;;;
79;11;11;=;=;;;;;;
80;7;0;0;;;;;;;
81;26;36;B;interesting, header changed;;;;;;
82;8;0;0;;;;;;;
83;36;0;0;;;;;;;
84;17;0;0;;;;;;;
85;9;0;0;;;;;;;
86;58;0;0;;;;;;;
87;4;17;B;;;;;;;
88;18;17;A;;;;;;;
89;130;3;A;;;;;;;
90;35;36;B;;;;;;;
91;229;0;0;;;;;;;
92;39;0;0;;;;;;;
93;4;14;B;;;;;;;
94;4;3;A;interesting, header changed, short;;;;;;
95;9;0;0;;;;;;;
96;10;3;A;;;;;;;
97;17;0;0;;;;;;;
98;29;9;A;;;;;;;
99;13;17;B;;;;;;;
100;16;0;0;;;;;;;
103;9;10;B;;;;;;;
104;24;7;A;;;;;;;
105;10;10;=;=;;;;;;
107;118;77;A;;;;;;;
108;47;0;0;deprec;;;;;;
109;26;0;0;;;;;;;
110;6;0;0;;;;;;;
112;10;0;0;;;;;;;
113;33;0;0;;;;;;;
114;5;0;0;;;;;;;
115;22;0;0;;;;;;;
117;95;3;A;;;;;;;
118;14;3;A;deprec;;;;;;
119;16;0;0;;;;;;;
120;39;0;0;;;;;;;
121;15;0;0;;;;;;;
122;2;0;0;;;;;;;
123;10;0;0;;;;;;;
124;40;7;A;;;;;;;
125;8;0;0;;;;;;;
126;102;71;A;;;;;;;
127;5;0;0;;;;;;;
128;38;0;0;;;;;;;
129;16;0;0;;;;;;;
130;6;0;0;;;;;;;
131;8;0;0;;;;;;;
132;12;0;0;;;;;;;
134;6;0;0;;;;;;;
135;34;0;0;;;;;;;
136;12;7;A;;;;;;;
137;14;0;0;;;;;;;
138;1;0;0;;;;;;;
140;57;58;A;;;;;;;
